지점ID,위도,경도,도로변,시간대,인원,출처,단위면적_m2
카페하다 역삼점-2,37.499269,127.037246,A,전체,26140,실측,
카페하다 역삼점-3,37.500002,127.035125,B,오전,2842,실측,
카페하다 역삼점-3,37.500002,127.035125,B,전체,14884,실측,
카페하다 서초점-0,37.48456,127.030388,A,오전,3866,실측,
카페하다 서초점-0,37.48456,127.030388,A,전체,17916,실측,
카페하다 서초점-0,37.48456,127.030388,A,주말,7902,실측,
카페하다 서초점-0,37.48456,127.030388,A,야간,2645,실측,
카페하다 서초점-1,37.482095,127.032739,B,오전,3164,실측,
카페하다 서초점-1,37.482095,127.032739,B,전체,14813,실측,
카페하다 서초점-2,37.48388,127.030481,A,오전,3941,실측,
카페하다 서초점-2,37.48388,127.030481,A,전체,19467,실측,
카페하다 서초점-3,37.484338,127.032521,B,오전,4441,실측,
카페하다 서초점-3,37.484338,127.032521,B,전체,24310,실측,
카페하다 잠실새내점-0,37.510082,127.086936,A,오전,3324,실측,
카페하다 잠실새내점-0,37.510082,127.086936,A,전체,15281,실측,
카페하다 잠실새내점-0,37.510082,127.086936,A,주말,7536,실측,
카페하다 잠실새내점-0,37.510082,127.086936,A,야간,1117,실측,
카페하다 잠실새내점-1,37.510742,127.084674,B,오전,2615,실측,
카페하다 잠실새내점-1,37.510742,127.084674,B,전체,12688,실측,
카페하다 잠실새내점-2,37.510821,127.087259,A,오전,2610,실측,
카페하다 잠실새내점-2,37.510821,127.087259,A,전체,14371,실측,
카페하다 잠실새내점-3,37.511921,127.087231,B,오전,2993,실측,
카페하다 잠실새내점-3,37.511921,127.087231,B,전체,16931,실측,
카페하다 건대입구점-0,37.541265,127.070116,A,오전,2241,실측,
카페하다 건대입구점-0,37.541265,127.070116,A,전체,11773,실측,
카페하다 건대입구점-0,37.541265,127.070116,A,주말,2027,실측,
카페하다 건대입구점-0,37.541265,127.070116,A,야간,1236,실측,
카페하다 건대입구점-1,37.539578,127.068074,B,오전,3334,실측,
카페하다 건대입구점-1,37.539578,127.068074,B,전체,19803,실측,
카페하다 건대입구점-2,37.542107,127.067965,A,오전,2146,실측,
카페하다 건대입구점-2,37.542107,127.067965,A,전체,11251,실측,
카페하다 건대입구점-3,37.54155,127.069275,B,오전,2421,실측,
카페하다 건대입구점-3,37.54155,127.069275,B,전체,12575,실측,
카페하다 상암점-0,37.579563,126.88891,A,오전,3984,실측,
카페하다 상암점-0,37.579563,126.88891,A,전체,21645,실측,
카페하다 상암점-0,37.579563,126.88891,A,주말,8689,실측,
카페하다 상암점-0,37.579563,126.88891,A,야간,4806,실측,
카페하다 상암점-1,37.579407,126.887377,B,오전,3469,실측,
카페하다 상암점-1,37.579407,126.887377,B,전체,20631,실측,
카페하다 상암점-2,37.580534,126.888515,A,오전,4897,실측,
카페하다 상암점-2,37.580534,126.888515,A,전체,25945,실측,
카페하다 상암점-3,37.58017,126.889033,B,오전,3111,실측,
카페하다 상암점-3,37.58017,126.889033,B,전체,19479,실측,
카페하다 여의도점-0,37.520026,126.925352,A,오전,3049,실측,
카페하다 여의도점-0,37.520026,126.925352,A,전체,15006,실측,
카페하다 여의도점-0,37.520026,126.925352,A,주말,7235,실측,
카페하다 여의도점-0,37.520026,126.925352,A,야간,1640,실측,
카페하다 여의도점-1,37.522713,126.922337,B,오전,2487,실측,
카페하다 여의도점-1,37.522713,126.922337,B,전체,14066,실측,
카페하다 여의도점-2,37.520327,126.926129,A,오전,4453,실측,
카페하다 여의도점-2,37.520327,126.926129,A,전체,28051,실측,
카페하다 여의도점-3,37.521978,126.924819,B,오전,4969,실측,
카페하다 여의도점-3,37.521978,126.924819,B,전체,25769,실측,
카페하다 종로3가점-0,37.57183,126.992653,A,오전,2959,실측,
카페하다 종로3가점-0,37.57183,126.992653,A,전체,17019,실측,
카페하다 종로3가점-0,37.57183,126.992653,A,주말,5377,실측,
카페하다 종로3가점-0,37.57183,126.992653,A,야간,2630,실측,
카페하다 종로3가점-1,37.570308,126.991609,B,오전,2643,실측,
카페하다 종로3가점-1,37.570308,126.991609,B,전체,15603,실측,
카페하다 종로3가점-2,37.57091,126.990999,A,오전,2585,실측,
카페하다 종로3가점-2,37.57091,126.990999,A,전체,15083,실측,
카페하다 종로3가점-3,37.569929,126.991728,B,오전,1802,실측,
카페하다 종로3가점-3,37.569929,126.991728,B,전체,11565,실측,
카페하다 사당점-0,37.478058,126.982081,A,오전,2849,실측,
카페하다 사당점-0,37.478058,126.982081,A,전체,13081,실측,
카페하다 사당점-0,37.478058,126.982081,A,주말,4022,실측,
카페하다 사당점-0,37.478058,126.982081,A,야간,4045,실측,
카페하다 사당점-1,37.476838,126.983438,B,오전,3336,실측,
카페하다 사당점-1,37.476838,126.983438,B,전체,17735,실측,
카페하다 사당점-2,37.476648,126.983529,A,오전,2652,실측,
카페하다 사당점-2,37.476648,126.983529,A,전체,13409,실측,
카페하다 사당점-3,37.477481,126.980204,B,오전,2911,실측,
카페하다 사당점-3,37.477481,126.980204,B,전체,17167,실측,
카페하다 노원점-0,37.655777,127.055151,A,오전,1053,실측,
카페하다 노원점-0,37.655777,127.055151,A,전체,6074,실측,
카페하다 노원점-0,37.655777,127.055151,A,주말,1602,실측,
카페하다 노원점-0,37.655777,127.055151,A,야간,1373,실측,
카페하다 노원점-1,37.65485,127.058567,B,오전,1290,실측,
카페하다 노원점-1,37.65485,127.058567,B,전체,7066,실측,
카페하다 노원점-2,37.653295,127.058722,A,오전,1314,실측,
카페하다 노원점-2,37.653295,127.058722,A,전체,8462,실측,
카페하다 노원점-3,37.652847,127.058473,B,오전,1526,실측,
카페하다 노원점-3,37.652847,127.058473,B,전체,8692,실측,
카페하다 수유점-0,37.636616,127.026582,A,오전,678,실측,
카페하다 수유점-0,37.636616,127.026582,A,전체,3291,실측,
카페하다 수유점-0,37.636616,127.026582,A,주말,1201,실측,
카페하다 수유점-0,37.636616,127.026582,A,야간,679,실측,
카페하다 수유점-1,37.636356,127.026708,B,오전,1435,실측,
카페하다 수유점-1,37.636356,127.026708,B,전체,7471,실측,
카페하다 수유점-2,37.637803,127.025667,A,오전,976,실측,
카페하다 수유점-2,37.637803,127.025667,A,전체,5675,실측,
카페하다 수유점-3,37.636315,127.025865,B,오전,1318,실측,
카페하다 수유점-3,37.636315,127.025865,B,전체,7341,실측,
카페하다 화곡점-0,37.540922,126.842004,A,오전,1520,실측,
카페하다 화곡점-0,37.540922,126.842004,A,전체,7859,실측,
카페하다 화곡점-0,37.540922,126.842004,A,주말,2773,실측,
카페하다 화곡점-0,37.540922,126.842004,A,야간,1500,실측,
카페하다 화곡점-1,37.540642,126.842099,B,오전,690,실측,
카페하다 화곡점-1,37.540642,126.842099,B,전체,3909,실측,
카페하다 화곡점-2,37.541111,126.841615,A,오전,1287,실측,
카페하다 화곡점-2,37.541111,126.841615,A,전체,6123,실측,
카페하다 화곡점-3,37.541742,126.842186,B,오전,1169,실측,
카페하다 화곡점-3,37.541742,126.842186,B,전체,6268,실측,
카페하다 부천중동점-0,37.501895,126.765856,A,오전,2765,실측,
카페하다 부천중동점-0,37.501895,126.765856,A,전체,13598,실측,
카페하다 부천중동점-0,37.501895,126.765856,A,주말,2396,실측,
카페하다 부천중동점-0,37.501895,126.765856,A,야간,991,실측,
카페하다 부천중동점-1,37.505044,126.765028,B,오전,4036,실측,
카페하다 부천중동점-1,37.505044,126.765028,B,전체,23972,실측,
카페하다 부천중동점-2,37.504756,126.766378,A,오전,2619,실측,
카페하다 부천중동점-2,37.504756,126.766378,A,전체,13388,실측,
카페하다 부천중동점-3,37.504561,126.767022,B,오전,2717,실측,
카페하다 부천중동점-3,37.504561,126.767022,B,전체,15143,실측,
카페하다 분당서현점-0,37.385395,127.122883,A,오전,2256,실측,
카페하다 분당서현점-0,37.385395,127.122883,A,전체,14272,실측,
카페하다 분당서현점-0,37.385395,127.122883,A,주말,4830,실측,
카페하다 분당서현점-0,37.385395,127.122883,A,야간,2901,실측,
카페하다 분당서현점-1,37.384984,127.125187,B,오전,1533,실측,
카페하다 분당서현점-1,37.384984,127.125187,B,전체,9168,실측,
카페하다 분당서현점-2,37.38518,127.123372,A,오전,2543,실측,
카페하다 분당서현점-2,37.38518,127.123372,A,전체,14632,실측,
카페하다 분당서현점-3,37.386197,127.12229,B,오전,2734,실측,
카페하다 분당서현점-3,37.386197,127.12229,B,전체,17760,실측,
카페하다 안양범계점-0,37.390279,126.948861,A,오전,4379,실측,
카페하다 안양범계점-0,37.390279,126.948861,A,전체,20643,실측,
카페하다 안양범계점-0,37.390279,126.948861,A,주말,9248,실측,
카페하다 안양범계점-0,37.390279,126.948861,A,야간,5514,실측,
카페하다 안양범계점-1,37.390314,126.952628,B,오전,2977,실측,
카페하다 안양범계점-1,37.390314,126.952628,B,전체,14875,실측,
카페하다 안양범계점-2,37.389414,126.950043,A,오전,4389,실측,
카페하다 안양범계점-2,37.389414,126.950043,A,전체,20154,실측,
카페하다 안양범계점-3,37.390394,126.950362,B,오전,2800,실측,
카페하다 안양범계점-3,37.390394,126.950362,B,전체,15819,실측,
카페하다 일산라페스타점-0,37.658293,126.771869,A,오전,3441,실측,
카페하다 일산라페스타점-0,37.658293,126.771869,A,전체,17429,실측,
카페하다 일산라페스타점-0,37.658293,126.771869,A,주말,6096,실측,
카페하다 일산라페스타점-0,37.658293,126.771869,A,야간,1976,실측,
카페하다 일산라페스타점-1,37.656938,126.771647,B,오전,2164,실측,
카페하다 일산라페스타점-1,37.656938,126.771647,B,전체,11791,실측,
카페하다 일산라페스타점-2,37.659482,126.768228,A,오전,2411,실측,
카페하다 일산라페스타점-2,37.659482,126.768228,A,전체,11913,실측,
카페하다 일산라페스타점-3,37.658686,126.770253,B,오전,2190,실측,
카페하다 일산라페스타점-3,37.658686,126.770253,B,전체,12406,실측,
