격자ID,중심위도,중심경도,한변_m,세대수,직장인구
G375490_1270512,37.549023,127.051168,100,7,25
G375499_1270512,37.549928,127.051168,100,7,22
G375508_1270512,37.550833,127.051168,100,10,33
G375382_1270523,37.538167,127.052301,100,13,23
G375391_1270523,37.539072,127.052301,100,12,25
G375400_1270523,37.539977,127.052301,100,12,43
G375409_1270523,37.540881,127.052301,100,12,43
G375418_1270523,37.541786,127.052301,100,9,44
G375427_1270523,37.542691,127.052301,100,11,61
G375436_1270523,37.543595,127.052301,100,14,82
G375445_1270523,37.5445,127.052301,100,16,62
G375454_1270523,37.545405,127.052301,100,13,30
G375463_1270523,37.546309,127.052301,100,22,37
G375472_1270523,37.547214,127.052301,100,13,51
G375481_1270523,37.548119,127.052301,100,10,56
G375490_1270523,37.549023,127.052301,100,14,47
G375499_1270523,37.549928,127.052301,100,10,40
G375508_1270523,37.550833,127.052301,100,6,36
G375382_1270534,37.538167,127.053434,100,9,31
G375391_1270534,37.539072,127.053434,100,7,36
G375400_1270534,37.539977,127.053434,100,17,42
G375409_1270534,37.540881,127.053434,100,19,28
G375418_1270534,37.541786,127.053434,100,21,32
G375427_1270534,37.542691,127.053434,100,14,60
G375436_1270534,37.543595,127.053434,100,12,62
G375445_1270534,37.5445,127.053434,100,31,101
G375454_1270534,37.545405,127.053434,100,20,44
G375463_1270534,37.546309,127.053434,100,12,52
G375472_1270534,37.547214,127.053434,100,12,41
G375481_1270534,37.548119,127.053434,100,13,23
G375490_1270534,37.549023,127.053434,100,17,53
G375499_1270534,37.549928,127.053434,100,12,19
G375508_1270534,37.550833,127.053434,100,9,42
G375382_1270546,37.538167,127.054567,100,13,17
G375391_1270546,37.539072,127.054567,100,15,36
G375400_1270546,37.539977,127.054567,100,13,35
G375409_1270546,37.540881,127.054567,100,14,44
G375418_1270546,37.541786,127.054567,100,15,32
G375427_1270546,37.542691,127.054567,100,16,76
G375436_1270546,37.543595,127.054567,100,18,97
G375445_1270546,37.5445,127.054567,100,37,42
G375454_1270546,37.545405,127.054567,100,15,54
G375463_1270546,37.546309,127.054567,100,28,87
G375472_1270546,37.547214,127.054567,100,11,42
G375481_1270546,37.548119,127.054567,100,19,52
G375490_1270546,37.549023,127.054567,100,8,30
G375499_1270546,37.549928,127.054567,100,11,49
G375508_1270546,37.550833,127.054567,100,10,20
G375382_1270557,37.538167,127.0557,100,7,39
G375391_1270557,37.539072,127.0557,100,7,50
G375400_1270557,37.539977,127.0557,100,18,28
G375409_1270557,37.540881,127.0557,100,18,78
G375418_1270557,37.541786,127.0557,100,26,42
G375427_1270557,37.542691,127.0557,100,32,77
G375436_1270557,37.543595,127.0557,100,18,50
G375445_1270557,37.5445,127.0557,100,17,99
G375454_1270557,37.545405,127.0557,100,23,92
G375463_1270557,37.546309,127.0557,100,14,63
G375472_1270557,37.547214,127.0557,100,24,78
G375481_1270557,37.548119,127.0557,100,10,76
G375490_1270557,37.549023,127.0557,100,9,43
G375499_1270557,37.549928,127.0557,100,8,21
G375508_1270557,37.550833,127.0557,100,6,28
G375382_1270568,37.538167,127.056833,100,9,45
G375391_1270568,37.539072,127.056833,100,12,40
G375400_1270568,37.539977,127.056833,100,10,52
G375409_1270568,37.540881,127.056833,100,11,28
G375418_1270568,37.541786,127.056833,100,11,52
G375427_1270568,37.542691,127.056833,100,22,47
G375436_1270568,37.543595,127.056833,100,18,62
G375445_1270568,37.5445,127.056833,100,36,128
G375454_1270568,37.545405,127.056833,100,17,65
G375463_1270568,37.546309,127.056833,100,22,51
G375472_1270568,37.547214,127.056833,100,26,41
G375481_1270568,37.548119,127.056833,100,10,30
G375490_1270568,37.549023,127.056833,100,17,54
G375499_1270568,37.549928,127.056833,100,15,22
G375508_1270568,37.550833,127.056833,100,13,24
G375382_1270580,37.538167,127.057966,100,6,36
G375391_1270580,37.539072,127.057966,100,11,17
G375400_1270580,37.539977,127.057966,100,14,60
G375409_1270580,37.540881,127.057966,100,17,41
G375418_1270580,37.541786,127.057966,100,15,34
G375427_1270580,37.542691,127.057966,100,27,72
G375436_1270580,37.543595,127.057966,100,14,56
G375445_1270580,37.5445,127.057966,100,29,63
G375454_1270580,37.545405,127.057966,100,28,57
G375463_1270580,37.546309,127.057966,100,13,41
G375472_1270580,37.547214,127.057966,100,20,68
G375481_1270580,37.548119,127.057966,100,12,34
G375490_1270580,37.549023,127.057966,100,9,53
G375499_1270580,37.549928,127.057966,100,15,34
G375508_1270580,37.550833,127.057966,100,6,24
G375382_1270591,37.538167,127.059099,100,12,17
G375391_1270591,37.539072,127.059099,100,10,27
G375400_1270591,37.539977,127.059099,100,13,46
G375409_1270591,37.540881,127.059099,100,15,41
G375418_1270591,37.541786,127.059099,100,14,44
G375427_1270591,37.542691,127.059099,100,13,40
G375436_1270591,37.543595,127.059099,100,23,66
G375445_1270591,37.5445,127.059099,100,23,67
G375454_1270591,37.545405,127.059099,100,10,51
G375463_1270591,37.546309,127.059099,100,13,67
G375472_1270591,37.547214,127.059099,100,12,68
G375481_1270591,37.548119,127.059099,100,19,42
G375490_1270591,37.549023,127.059099,100,13,29
G375499_1270591,37.549928,127.059099,100,14,45
G375508_1270591,37.550833,127.059099,100,11,20
G375382_1270602,37.538167,127.060232,100,12,23
G375391_1270602,37.539072,127.060232,100,11,16
G375400_1270602,37.539977,127.060232,100,14,34
G375409_1270602,37.540881,127.060232,100,17,42
G375418_1270602,37.541786,127.060232,100,13,61
G375427_1270602,37.542691,127.060232,100,14,59
G375436_1270602,37.543595,127.060232,100,19,58
G375445_1270602,37.5445,127.060232,100,20,29
G375454_1270602,37.545405,127.060232,100,13,47
G375463_1270602,37.546309,127.060232,100,9,72
G375472_1270602,37.547214,127.060232,100,11,26
G375481_1270602,37.548119,127.060232,100,10,36
G375490_1270602,37.549023,127.060232,100,8,44
G375499_1270602,37.549928,127.060232,100,8,19
G375508_1270602,37.550833,127.060232,100,9,20
G375382_1270614,37.538167,127.061365,100,6,27
G375391_1270614,37.539072,127.061365,100,5,41
G375400_1270614,37.539977,127.061365,100,7,34
G375409_1270614,37.540881,127.061365,100,6,22
G375418_1270614,37.541786,127.061365,100,16,23
G375427_1270614,37.542691,127.061365,100,14,45
G375436_1270614,37.543595,127.061365,100,17,24
G375445_1270614,37.5445,127.061365,100,15,25
G375454_1270614,37.545405,127.061365,100,9,28
G375463_1270614,37.546309,127.061365,100,8,27
G375472_1270614,37.547214,127.061365,100,8,21
G375481_1270614,37.548119,127.061365,100,9,38
G375490_1270614,37.549023,127.061365,100,11,36
G375499_1270614,37.549928,127.061365,100,7,36
G375508_1270614,37.550833,127.061365,100,5,28
G375382_1270625,37.538167,127.062498,100,5,30
G375391_1270625,37.539072,127.062498,100,6,37
G375400_1270625,37.539977,127.062498,100,9,37
G375409_1270625,37.540881,127.062498,100,9,31
G375418_1270625,37.541786,127.062498,100,13,23
G375427_1270625,37.542691,127.062498,100,12,29
G375436_1270625,37.543595,127.062498,100,8,48
G375445_1270625,37.5445,127.062498,100,13,50
G375454_1270625,37.545405,127.062498,100,12,39
G375463_1270625,37.546309,127.062498,100,14,24
G375472_1270625,37.547214,127.062498,100,14,41
G375481_1270625,37.548119,127.062498,100,5,15
G375490_1270625,37.549023,127.062498,100,12,30
G375499_1270625,37.549928,127.062498,100,9,28
G375508_1270625,37.550833,127.062498,100,5,17
G375382_1270636,37.538167,127.063631,100,6,17
G375391_1270636,37.539072,127.063631,100,6,14
G375400_1270636,37.539977,127.063631,100,8,33
G375409_1270636,37.540881,127.063631,100,5,31
G375418_1270636,37.541786,127.063631,100,10,26
G375427_1270636,37.542691,127.063631,100,11,45
G375436_1270636,37.543595,127.063631,100,9,21
G375445_1270636,37.5445,127.063631,100,13,26
G375454_1270636,37.545405,127.063631,100,9,40
G375463_1270636,37.546309,127.063631,100,12,22
G375472_1270636,37.547214,127.063631,100,9,24
G375481_1270636,37.548119,127.063631,100,10,33
G375490_1270636,37.549023,127.063631,100,6,13
G375499_1270636,37.549928,127.063631,100,10,29
G375508_1270636,37.550833,127.063631,100,7,24
G374916_1270197,37.491567,127.019674,100,2,37
G374925_1270197,37.492472,127.019674,100,4,58
G374934_1270197,37.493377,127.019674,100,3,62
G374943_1270197,37.494281,127.019674,100,4,83
G374952_1270197,37.495186,127.019674,100,3,82
G374961_1270197,37.496091,127.019674,100,3,83
G374970_1270197,37.496995,127.019674,100,3,53
G374979_1270197,37.4979,127.019674,100,3,71
G374988_1270197,37.498805,127.019674,100,5,57
G374997_1270197,37.499709,127.019674,100,5,59
G375006_1270197,37.500614,127.019674,100,3,72
G375015_1270197,37.501519,127.019674,100,4,70
G375024_1270197,37.502423,127.019674,100,2,47
G375033_1270197,37.503328,127.019674,100,2,44
G375042_1270197,37.504233,127.019674,100,4,29
G374916_1270208,37.491567,127.020806,100,2,71
G374925_1270208,37.492472,127.020806,100,4,68
G374934_1270208,37.493377,127.020806,100,2,39
G374943_1270208,37.494281,127.020806,100,5,75
G374952_1270208,37.495186,127.020806,100,3,87
G374961_1270208,37.496091,127.020806,100,4,87
G374970_1270208,37.496995,127.020806,100,6,97
G374979_1270208,37.4979,127.020806,100,7,105
G374988_1270208,37.498805,127.020806,100,4,53
G374997_1270208,37.499709,127.020806,100,5,94
G375006_1270208,37.500614,127.020806,100,5,35
G375015_1270208,37.501519,127.020806,100,3,90
G375024_1270208,37.502423,127.020806,100,2,42
G375033_1270208,37.503328,127.020806,100,3,65
G375042_1270208,37.504233,127.020806,100,4,25
G374916_1270219,37.491567,127.021939,100,2,71
G374925_1270219,37.492472,127.021939,100,5,50
G374934_1270219,37.493377,127.021939,100,6,90
G374943_1270219,37.494281,127.021939,100,3,85
G374952_1270219,37.495186,127.021939,100,6,113
G374961_1270219,37.496091,127.021939,100,4,66
G374970_1270219,37.496995,127.021939,100,7,115
G374979_1270219,37.4979,127.021939,100,5,58
G374988_1270219,37.498805,127.021939,100,6,142
G374997_1270219,37.499709,127.021939,100,7,94
G375006_1270219,37.500614,127.021939,100,6,125
G375015_1270219,37.501519,127.021939,100,3,115
G375024_1270219,37.502423,127.021939,100,3,89
G375033_1270219,37.503328,127.021939,100,3,60
G375042_1270219,37.504233,127.021939,100,4,78
G374916_1270231,37.491567,127.023071,100,4,44
G374925_1270231,37.492472,127.023071,100,4,82
G374934_1270231,37.493377,127.023071,100,5,91
G374943_1270231,37.494281,127.023071,100,6,85
G374952_1270231,37.495186,127.023071,100,8,46
G374961_1270231,37.496091,127.023071,100,5,66
G374970_1270231,37.496995,127.023071,100,4,147
G374979_1270231,37.4979,127.023071,100,7,127
G374988_1270231,37.498805,127.023071,100,10,54
G374997_1270231,37.499709,127.023071,100,7,52
G375006_1270231,37.500614,127.023071,100,6,93
G375015_1270231,37.501519,127.023071,100,8,50
G375024_1270231,37.502423,127.023071,100,3,88
G375033_1270231,37.503328,127.023071,100,6,32
G375042_1270231,37.504233,127.023071,100,3,60
G374916_1270242,37.491567,127.024203,100,6,85
G374925_1270242,37.492472,127.024203,100,4,48
G374934_1270242,37.493377,127.024203,100,8,75
G374943_1270242,37.494281,127.024203,100,6,143
G374952_1270242,37.495186,127.024203,100,9,120
G374961_1270242,37.496091,127.024203,100,6,122
G374970_1270242,37.496995,127.024203,100,10,154
G374979_1270242,37.4979,127.024203,100,8,87
G374988_1270242,37.498805,127.024203,100,8,122
G374997_1270242,37.499709,127.024203,100,8,127
G375006_1270242,37.500614,127.024203,100,8,142
G375015_1270242,37.501519,127.024203,100,4,83
G375024_1270242,37.502423,127.024203,100,7,63
G375033_1270242,37.503328,127.024203,100,4,87
G375042_1270242,37.504233,127.024203,100,3,42
G374916_1270253,37.491567,127.025335,100,6,47
G374925_1270253,37.492472,127.025335,100,3,92
G374934_1270253,37.493377,127.025335,100,5,115
G374943_1270253,37.494281,127.025335,100,4,57
G374952_1270253,37.495186,127.025335,100,5,81
G374961_1270253,37.496091,127.025335,100,11,197
G374970_1270253,37.496995,127.025335,100,6,130
G374979_1270253,37.4979,127.025335,100,12,168
G374988_1270253,37.498805,127.025335,100,12,214
G374997_1270253,37.499709,127.025335,100,8,87
G375006_1270253,37.500614,127.025335,100,8,151
G375015_1270253,37.501519,127.025335,100,9,138
G375024_1270253,37.502423,127.025335,100,6,106
G375033_1270253,37.503328,127.025335,100,4,65
G375042_1270253,37.504233,127.025335,100,4,100
G374916_1270265,37.491567,127.026468,100,6,101
G374925_1270265,37.492472,127.026468,100,6,72
G374934_1270265,37.493377,127.026468,100,6,86
G374943_1270265,37.494281,127.026468,100,8,97
G374952_1270265,37.495186,127.026468,100,8,67
G374961_1270265,37.496091,127.026468,100,9,169
G374970_1270265,37.496995,127.026468,100,7,85
G374979_1270265,37.4979,127.026468,100,18,262
G374988_1270265,37.498805,127.026468,100,11,139
G374997_1270265,37.499709,127.026468,100,12,194
G375006_1270265,37.500614,127.026468,100,12,120
G375015_1270265,37.501519,127.026468,100,10,72
G375024_1270265,37.502423,127.026468,100,8,71
G375033_1270265,37.503328,127.026468,100,6,119
G375042_1270265,37.504233,127.026468,100,5,34
G374916_1270276,37.491567,127.0276,100,3,69
G374925_1270276,37.492472,127.0276,100,7,98
G374934_1270276,37.493377,127.0276,100,5,87
G374943_1270276,37.494281,127.0276,100,4,66
G374952_1270276,37.495186,127.0276,100,5,112
G374961_1270276,37.496091,127.0276,100,10,141
G374970_1270276,37.496995,127.0276,100,14,216
G374979_1270276,37.4979,127.0276,100,8,118
G374988_1270276,37.498805,127.0276,100,13,116
G374997_1270276,37.499709,127.0276,100,10,196
G375006_1270276,37.500614,127.0276,100,11,179
G375015_1270276,37.501519,127.0276,100,9,141
G375024_1270276,37.502423,127.0276,100,4,86
G375033_1270276,37.503328,127.0276,100,3,86
G375042_1270276,37.504233,127.0276,100,5,67
G374916_1270287,37.491567,127.028732,100,3,88
G374925_1270287,37.492472,127.028732,100,4,82
G374934_1270287,37.493377,127.028732,100,8,99
G374943_1270287,37.494281,127.028732,100,7,163
G374952_1270287,37.495186,127.028732,100,10,139
G374961_1270287,37.496091,127.028732,100,12,146
G374970_1270287,37.496995,127.028732,100,10,215
G374979_1270287,37.4979,127.028732,100,9,198
G374988_1270287,37.498805,127.028732,100,12,101
G374997_1270287,37.499709,127.028732,100,7,155
G375006_1270287,37.500614,127.028732,100,11,142
G375015_1270287,37.501519,127.028732,100,4,82
G375024_1270287,37.502423,127.028732,100,9,90
G375033_1270287,37.503328,127.028732,100,7,89
G375042_1270287,37.504233,127.028732,100,4,91
G374916_1270299,37.491567,127.029865,100,3,36
G374925_1270299,37.492472,127.029865,100,3,83
G374934_1270299,37.493377,127.029865,100,4,53
G374943_1270299,37.494281,127.029865,100,7,86
G374952_1270299,37.495186,127.029865,100,7,72
G374961_1270299,37.496091,127.029865,100,6,138
G374970_1270299,37.496995,127.029865,100,7,120
G374979_1270299,37.4979,127.029865,100,8,122
G374988_1270299,37.498805,127.029865,100,8,80
G374997_1270299,37.499709,127.029865,100,5,143
G375006_1270299,37.500614,127.029865,100,10,61
G375015_1270299,37.501519,127.029865,100,7,115
G375024_1270299,37.502423,127.029865,100,8,100
G375033_1270299,37.503328,127.029865,100,6,85
G375042_1270299,37.504233,127.029865,100,5,90
G374916_1270310,37.491567,127.030997,100,5,59
G374925_1270310,37.492472,127.030997,100,6,41
G374934_1270310,37.493377,127.030997,100,4,92
G374943_1270310,37.494281,127.030997,100,8,125
G374952_1270310,37.495186,127.030997,100,8,87
G374961_1270310,37.496091,127.030997,100,9,108
G374970_1270310,37.496995,127.030997,100,7,160
G374979_1270310,37.4979,127.030997,100,8,203
G374988_1270310,37.498805,127.030997,100,11,67
G374997_1270310,37.499709,127.030997,100,8,84
G375006_1270310,37.500614,127.030997,100,5,130
G375015_1270310,37.501519,127.030997,100,6,143
G375024_1270310,37.502423,127.030997,100,3,51
G375033_1270310,37.503328,127.030997,100,7,62
G375042_1270310,37.504233,127.030997,100,6,71
G374916_1270321,37.491567,127.032129,100,3,36
G374925_1270321,37.492472,127.032129,100,3,62
G374934_1270321,37.493377,127.032129,100,6,94
G374943_1270321,37.494281,127.032129,100,8,119
G374952_1270321,37.495186,127.032129,100,9,79
G374961_1270321,37.496091,127.032129,100,5,124
G374970_1270321,37.496995,127.032129,100,7,135
G374979_1270321,37.4979,127.032129,100,6,127
G374988_1270321,37.498805,127.032129,100,6,139
G374997_1270321,37.499709,127.032129,100,4,151
G375006_1270321,37.500614,127.032129,100,8,125
G375015_1270321,37.501519,127.032129,100,3,104
G375024_1270321,37.502423,127.032129,100,5,98
G375033_1270321,37.503328,127.032129,100,4,100
G375042_1270321,37.504233,127.032129,100,3,28
G374916_1270333,37.491567,127.033261,100,3,47
G374925_1270333,37.492472,127.033261,100,2,42
G374934_1270333,37.493377,127.033261,100,6,62
G374943_1270333,37.494281,127.033261,100,5,40
G374952_1270333,37.495186,127.033261,100,7,87
G374961_1270333,37.496091,127.033261,100,8,53
G374970_1270333,37.496995,127.033261,100,6,134
G374979_1270333,37.4979,127.033261,100,4,140
G374988_1270333,37.498805,127.033261,100,5,87
G374997_1270333,37.499709,127.033261,100,7,54
G375006_1270333,37.500614,127.033261,100,3,86
G375015_1270333,37.501519,127.033261,100,4,59
G375024_1270333,37.502423,127.033261,100,3,83
G375033_1270333,37.503328,127.033261,100,6,74
G375042_1270333,37.504233,127.033261,100,4,54
G374916_1270344,37.491567,127.034394,100,3,39
G374925_1270344,37.492472,127.034394,100,4,44
G374934_1270344,37.493377,127.034394,100,4,71
G374943_1270344,37.494281,127.034394,100,3,72
G374952_1270344,37.495186,127.034394,100,7,62
G374961_1270344,37.496091,127.034394,100,7,70
G374970_1270344,37.496995,127.034394,100,5,64
G374979_1270344,37.4979,127.034394,100,5,111
G374988_1270344,37.498805,127.034394,100,5,45
G374997_1270344,37.499709,127.034394,100,4,100
G375006_1270344,37.500614,127.034394,100,6,57
G375015_1270344,37.501519,127.034394,100,6,58
G375024_1270344,37.502423,127.034394,100,3,57
G375033_1270344,37.503328,127.034394,100,4,75
G375042_1270344,37.504233,127.034394,100,3,38
G374916_1270355,37.491567,127.035526,100,3,60
G374925_1270355,37.492472,127.035526,100,3,52
G374934_1270355,37.493377,127.035526,100,2,59
G374943_1270355,37.494281,127.035526,100,2,48
G374952_1270355,37.495186,127.035526,100,6,78
G374961_1270355,37.496091,127.035526,100,3,77
G374970_1270355,37.496995,127.035526,100,5,64
G374979_1270355,37.4979,127.035526,100,6,60
G374988_1270355,37.498805,127.035526,100,3,41
G374997_1270355,37.499709,127.035526,100,5,100
G375006_1270355,37.500614,127.035526,100,3,33
G375015_1270355,37.501519,127.035526,100,3,56
G375024_1270355,37.502423,127.035526,100,3,56
G375033_1270355,37.503328,127.035526,100,4,41
G375042_1270355,37.504233,127.035526,100,3,58
G375199_1268673,37.519867,126.867271,100,13,3
G375208_1268673,37.520772,126.867271,100,16,4
G375217_1268673,37.521677,126.867271,100,8,5
G375226_1268673,37.522581,126.867271,100,14,5
G375235_1268673,37.523486,126.867271,100,18,6
G375244_1268673,37.524391,126.867271,100,14,7
G375253_1268673,37.525295,126.867271,100,21,8
G375262_1268673,37.5262,126.867271,100,15,10
G375271_1268673,37.527105,126.867271,100,16,9
G375280_1268673,37.528009,126.867271,100,21,7
G375289_1268673,37.528914,126.867271,100,24,4
G375298_1268673,37.529819,126.867271,100,13,5
G375307_1268673,37.530723,126.867271,100,15,6
G375316_1268673,37.531628,126.867271,100,17,3
G375325_1268673,37.532533,126.867271,100,17,2
G375199_1268684,37.519867,126.868404,100,13,3
G375208_1268684,37.520772,126.868404,100,10,8
G375217_1268684,37.521677,126.868404,100,24,4
G375226_1268684,37.522581,126.868404,100,22,6
G375235_1268684,37.523486,126.868404,100,12,4
G375244_1268684,37.524391,126.868404,100,12,11
G375253_1268684,37.525295,126.868404,100,23,5
G375262_1268684,37.5262,126.868404,100,30,8
G375271_1268684,37.527105,126.868404,100,26,10
G375280_1268684,37.528009,126.868404,100,30,6
G375289_1268684,37.528914,126.868404,100,22,7
G375298_1268684,37.529819,126.868404,100,17,5
G375307_1268684,37.530723,126.868404,100,15,8
G375316_1268684,37.531628,126.868404,100,16,5
G375325_1268684,37.532533,126.868404,100,18,3
G375199_1268695,37.519867,126.869537,100,19,4
G375208_1268695,37.520772,126.869537,100,11,9
G375217_1268695,37.521677,126.869537,100,15,5
G375226_1268695,37.522581,126.869537,100,22,5
G375235_1268695,37.523486,126.869537,100,14,6
G375244_1268695,37.524391,126.869537,100,31,11
G375253_1268695,37.525295,126.869537,100,21,9
G375262_1268695,37.5262,126.869537,100,16,10
G375271_1268695,37.527105,126.869537,100,36,13
G375280_1268695,37.528009,126.869537,100,25,13
G375289_1268695,37.528914,126.869537,100,29,10
G375298_1268695,37.529819,126.869537,100,13,4
G375307_1268695,37.530723,126.869537,100,11,9
G375316_1268695,37.531628,126.869537,100,10,5
G375325_1268695,37.532533,126.869537,100,18,6
G375199_1268707,37.519867,126.870669,100,9,8
G375208_1268707,37.520772,126.870669,100,24,10
G375217_1268707,37.521677,126.870669,100,26,9
G375226_1268707,37.522581,126.870669,100,31,6
G375235_1268707,37.523486,126.870669,100,35,14
G375244_1268707,37.524391,126.870669,100,31,11
G375253_1268707,37.525295,126.870669,100,31,9
G375262_1268707,37.5262,126.870669,100,28,13
G375271_1268707,37.527105,126.870669,100,40,9
G375280_1268707,37.528009,126.870669,100,36,13
G375289_1268707,37.528914,126.870669,100,19,6
G375298_1268707,37.529819,126.870669,100,17,6
G375307_1268707,37.530723,126.870669,100,12,4
G375316_1268707,37.531628,126.870669,100,19,4
G375325_1268707,37.532533,126.870669,100,14,6
G375199_1268718,37.519867,126.871802,100,9,4
G375208_1268718,37.520772,126.871802,100,20,8
G375217_1268718,37.521677,126.871802,100,23,12
G375226_1268718,37.522581,126.871802,100,24,11
G375235_1268718,37.523486,126.871802,100,36,14
G375244_1268718,37.524391,126.871802,100,34,6
G375253_1268718,37.525295,126.871802,100,36,11
G375262_1268718,37.5262,126.871802,100,51,20
G375271_1268718,37.527105,126.871802,100,30,7
G375280_1268718,37.528009,126.871802,100,37,18
G375289_1268718,37.528914,126.871802,100,40,8
G375298_1268718,37.529819,126.871802,100,20,15
G375307_1268718,37.530723,126.871802,100,12,9
G375316_1268718,37.531628,126.871802,100,11,10
G375325_1268718,37.532533,126.871802,100,9,8
G375199_1268729,37.519867,126.872935,100,25,4
G375208_1268729,37.520772,126.872935,100,23,4
G375217_1268729,37.521677,126.872935,100,35,9
G375226_1268729,37.522581,126.872935,100,34,16
G375235_1268729,37.523486,126.872935,100,19,9
G375244_1268729,37.524391,126.872935,100,44,14
G375253_1268729,37.525295,126.872935,100,26,9
G375262_1268729,37.5262,126.872935,100,31,12
G375271_1268729,37.527105,126.872935,100,53,22
G375280_1268729,37.528009,126.872935,100,33,13
G375289_1268729,37.528914,126.872935,100,28,6
G375298_1268729,37.529819,126.872935,100,25,6
G375307_1268729,37.530723,126.872935,100,17,13
G375316_1268729,37.531628,126.872935,100,15,5
G375325_1268729,37.532533,126.872935,100,18,9
G375199_1268741,37.519867,126.874067,100,20,8
G375208_1268741,37.520772,126.874067,100,25,12
G375217_1268741,37.521677,126.874067,100,20,13
G375226_1268741,37.522581,126.874067,100,35,16
G375235_1268741,37.523486,126.874067,100,31,19
G375244_1268741,37.524391,126.874067,100,26,8
G375253_1268741,37.525295,126.874067,100,38,27
G375262_1268741,37.5262,126.874067,100,54,18
G375271_1268741,37.527105,126.874067,100,25,25
G375280_1268741,37.528009,126.874067,100,30,23
G375289_1268741,37.528914,126.874067,100,28,11
G375298_1268741,37.529819,126.874067,100,43,8
G375307_1268741,37.530723,126.874067,100,14,5
G375316_1268741,37.531628,126.874067,100,13,10
G375325_1268741,37.532533,126.874067,100,26,5
G375199_1268752,37.519867,126.8752,100,10,8
G375208_1268752,37.520772,126.8752,100,21,11
G375217_1268752,37.521677,126.8752,100,18,9
G375226_1268752,37.522581,126.8752,100,28,11
G375235_1268752,37.523486,126.8752,100,20,21
G375244_1268752,37.524391,126.8752,100,58,11
G375253_1268752,37.525295,126.8752,100,37,24
G375262_1268752,37.5262,126.8752,100,66,27
G375271_1268752,37.527105,126.8752,100,36,19
G375280_1268752,37.528009,126.8752,100,23,25
G375289_1268752,37.528914,126.8752,100,20,9
G375298_1268752,37.529819,126.8752,100,37,14
G375307_1268752,37.530723,126.8752,100,21,13
G375316_1268752,37.531628,126.8752,100,23,13
G375325_1268752,37.532533,126.8752,100,17,4
G375199_1268763,37.519867,126.876333,100,13,6
G375208_1268763,37.520772,126.876333,100,24,12
G375217_1268763,37.521677,126.876333,100,26,11
G375226_1268763,37.522581,126.876333,100,32,13
G375235_1268763,37.523486,126.876333,100,29,15
G375244_1268763,37.524391,126.876333,100,29,10
G375253_1268763,37.525295,126.876333,100,39,12
G375262_1268763,37.5262,126.876333,100,70,22
G375271_1268763,37.527105,126.876333,100,55,19
G375280_1268763,37.528009,126.876333,100,23,10
