상호,브랜드,티어,위도,경도,좌석수,자사
커피빈 홍대68점,커피빈,동일가격대,37.55944,126.930267,16,N
폴바셋 홍대69점,폴바셋,스페셜티,37.557855,126.930099,16,N
컴포즈커피 홍대70점,컴포즈커피,저가형,37.55801,126.919365,16,N
컴포즈커피 홍대71점,컴포즈커피,저가형,37.556066,126.924664,16,N
할리스커피 판교1점,할리스커피,동일가격대,37.399451,127.105713,55,N
투썸플레이스 판교2점,투썸플레이스,동일가격대,37.403115,127.106487,40,N
이디야커피 판교3점,이디야커피,저가형,37.404063,127.106584,40,N
투썸플레이스 판교4점,투썸플레이스,동일가격대,37.405151,127.105732,40,N
블루보틀 판교5점,블루보틀,스페셜티,37.399558,127.109967,55,N
매머드커피 판교6점,매머드커피,저가형,37.403501,127.103501,55,N
폴바셋 판교7점,폴바셋,스페셜티,37.402922,127.105935,55,N
파리바게뜨 판교8점,파리바게뜨,비커피,37.402508,127.108696,16,N
블루보틀 판교9점,블루보틀,스페셜티,37.400146,127.11381,20,N
스타벅스 판교10점,스타벅스,동일가격대,37.402623,127.103569,24,N
이디야커피 판교11점,이디야커피,저가형,37.39843,127.103662,30,N
스타벅스 판교12점,스타벅스,동일가격대,37.402213,127.110111,40,N
할리스커피 판교13점,할리스커피,동일가격대,37.399154,127.112671,30,N
매머드커피 판교14점,매머드커피,저가형,37.397848,127.105939,40,N
투썸플레이스 판교15점,투썸플레이스,동일가격대,37.402289,127.105606,20,N
블루보틀 판교16점,블루보틀,스페셜티,37.403203,127.110682,12,N
뚜레쥬르 판교17점,뚜레쥬르,비커피,37.398857,127.108438,16,N
뚜레쥬르 판교18점,뚜레쥬르,비커피,37.396668,127.108002,55,N
뚜레쥬르 판교19점,뚜레쥬르,비커피,37.404168,127.114233,24,N
매머드커피 판교20점,매머드커피,저가형,37.402884,127.106703,20,N
블루보틀 판교21점,블루보틀,스페셜티,37.403029,127.104256,40,N
더벤티 판교22점,더벤티,저가형,37.405572,127.113369,16,N
뚜레쥬르 판교23점,뚜레쥬르,비커피,37.398801,127.111672,30,N
커피빈 판교24점,커피빈,동일가격대,37.402482,127.114182,20,N
폴바셋 판교25점,폴바셋,스페셜티,37.40302,127.108114,24,N
파리바게뜨 판교26점,파리바게뜨,비커피,37.401278,127.112038,20,N
컴포즈커피 판교27점,컴포즈커피,저가형,37.405382,127.10964,20,N
파리바게뜨 판교28점,파리바게뜨,비커피,37.404087,127.110999,12,N
커피빈 판교29점,커피빈,동일가격대,37.40073,127.113486,55,N
할리스커피 판교30점,할리스커피,동일가격대,37.40116,127.105941,16,N
빽다방 판교31점,빽다방,저가형,37.400039,127.109915,16,N
뚜레쥬르 판교32점,뚜레쥬르,비커피,37.399102,127.106066,12,N
뚜레쥬르 판교33점,뚜레쥬르,비커피,37.402735,127.111757,30,N
뚜레쥬르 신림1점,뚜레쥬르,비커피,37.483927,126.924397,12,N
빽다방 신림2점,빽다방,저가형,37.485745,126.935026,24,N
파리바게뜨 신림3점,파리바게뜨,비커피,37.489383,126.930936,55,N
이디야커피 신림4점,이디야커피,저가형,37.488368,126.929367,30,N
뚜레쥬르 신림5점,뚜레쥬르,비커피,37.479443,126.931927,30,N
컴포즈커피 신림6점,컴포즈커피,저가형,37.485688,126.93091,24,N
메가MGC커피 신림7점,메가MGC커피,저가형,37.486319,126.926447,55,N
투썸플레이스 신림8점,투썸플레이스,동일가격대,37.481675,126.927162,16,N
컴포즈커피 신림9점,컴포즈커피,저가형,37.484494,126.924237,24,N
메가MGC커피 신림10점,메가MGC커피,저가형,37.481072,126.925659,20,N
매머드커피 신림11점,매머드커피,저가형,37.485353,126.932435,24,N
빽다방 신림12점,빽다방,저가형,37.48037,126.932806,30,N
폴바셋 신림13점,폴바셋,스페셜티,37.485916,126.935229,55,N
할리스커피 신림14점,할리스커피,동일가격대,37.48637,126.925823,55,N
뚜레쥬르 신림15점,뚜레쥬르,비커피,37.487422,126.927922,55,N
메가MGC커피 신림16점,메가MGC커피,저가형,37.48686,126.932764,24,N
폴바셋 신림17점,폴바셋,스페셜티,37.487581,126.928853,16,N
투썸플레이스 신림18점,투썸플레이스,동일가격대,37.484062,126.925012,30,N
메가MGC커피 신림19점,메가MGC커피,저가형,37.488955,126.926515,55,N
메가MGC커피 신림20점,메가MGC커피,저가형,37.483468,126.930734,55,N
파리바게뜨 신림21점,파리바게뜨,비커피,37.486132,126.92803,20,N
커피빈 신림22점,커피빈,동일가격대,37.483386,126.927546,16,N
이디야커피 신림23점,이디야커피,저가형,37.487052,126.932478,40,N
투썸플레이스 신림24점,투썸플레이스,동일가격대,37.486999,126.933293,12,N
블루보틀 신림25점,블루보틀,스페셜티,37.483015,126.923255,40,N
더벤티 신림26점,더벤티,저가형,37.484863,126.932871,24,N
파리바게뜨 신림27점,파리바게뜨,비커피,37.484203,126.926663,12,N
블루보틀 신림28점,블루보틀,스페셜티,37.489357,126.930655,30,N
매머드커피 신림29점,매머드커피,저가형,37.482208,126.92551,20,N
할리스커피 신림30점,할리스커피,동일가격대,37.485695,126.929044,40,N
컴포즈커피 신림31점,컴포즈커피,저가형,37.483617,126.934385,12,N
컴포즈커피 신림32점,컴포즈커피,저가형,37.488436,126.92576,40,N
뚜레쥬르 신림33점,뚜레쥬르,비커피,37.485795,126.936078,55,N
파리바게뜨 신림34점,파리바게뜨,비커피,37.486724,126.931994,40,N
폴바셋 신림35점,폴바셋,스페셜티,37.479428,126.927703,30,N
폴바셋 신림36점,폴바셋,스페셜티,37.48708,126.935068,40,N
할리스커피 신림37점,할리스커피,동일가격대,37.484463,126.934289,20,N
빽다방 신림38점,빽다방,저가형,37.488372,126.929388,20,N
투썸플레이스 신림39점,투썸플레이스,동일가격대,37.48225,126.924833,16,N
컴포즈커피 신림40점,컴포즈커피,저가형,37.482637,126.926353,55,N
블루보틀 신림41점,블루보틀,스페셜티,37.482453,126.93238,20,N
커피빈 신림42점,커피빈,동일가격대,37.485443,126.924164,24,N
할리스커피 신림43점,할리스커피,동일가격대,37.487602,126.933137,16,N
더벤티 신림44점,더벤티,저가형,37.488862,126.929343,12,N
할리스커피 카페하다1점,할리스커피,동일가격대,37.559756,127.042457,20,N
뚜레쥬르 카페하다2점,뚜레쥬르,비커피,37.560063,127.038494,16,N
블루보틀 카페하다3점,블루보틀,스페셜티,37.560094,127.039712,40,N
빽다방 카페하다4점,빽다방,저가형,37.565284,127.040721,55,N
커피빈 카페하다5점,커피빈,동일가격대,37.560365,127.038872,40,N
블루보틀 카페하다6점,블루보틀,스페셜티,37.56317,127.043852,24,N
파리바게뜨 카페하다7점,파리바게뜨,비커피,37.565248,127.04129,12,N
파리바게뜨 카페하다8점,파리바게뜨,비커피,37.557759,127.041504,20,N
뚜레쥬르 카페하다9점,뚜레쥬르,비커피,37.5618,127.041565,24,N
메가MGC커피 카페하다10점,메가MGC커피,저가형,37.560352,127.040404,12,N
빽다방 카페하다11점,빽다방,저가형,37.562752,127.032807,12,N
폴바셋 카페하다12점,폴바셋,스페셜티,37.558179,127.039105,30,N
더벤티 카페하다13점,더벤티,저가형,37.561821,127.032627,24,N
매머드커피 카페하다14점,매머드커피,저가형,37.558292,127.034294,30,N
커피빈 카페하다15점,커피빈,동일가격대,37.55986,127.033808,20,N
파리바게뜨 카페하다16점,파리바게뜨,비커피,37.560358,127.036739,55,N
파리바게뜨 카페하다17점,파리바게뜨,비커피,37.563561,127.041938,12,N
뚜레쥬르 카페하다18점,뚜레쥬르,비커피,37.564319,127.032539,30,N
이디야커피 카페하다19점,이디야커피,저가형,37.565314,127.0375,24,N
투썸플레이스 카페하다20점,투썸플레이스,동일가격대,37.565718,127.035745,16,N
메가MGC커피 카페하다21점,메가MGC커피,저가형,37.55687,127.038158,12,N
스타벅스 카페하다22점,스타벅스,동일가격대,37.563445,127.039764,55,N
폴바셋 카페하다23점,폴바셋,스페셜티,37.556385,127.035549,40,N
폴바셋 카페하다24점,폴바셋,스페셜티,37.559942,127.038513,30,N
메가MGC커피 카페하다25점,메가MGC커피,저가형,37.558289,127.036152,30,N
빽다방 카페하다26점,빽다방,저가형,37.55938,127.038406,55,N
폴바셋 카페하다1점,폴바셋,스페셜티,37.500347,127.034424,12,N
투썸플레이스 카페하다2점,투썸플레이스,동일가격대,37.498102,127.040564,20,N
투썸플레이스 카페하다3점,투썸플레이스,동일가격대,37.50155,127.034037,55,N
매머드커피 카페하다4점,매머드커피,저가형,37.495643,127.0379,30,N
컴포즈커피 카페하다5점,컴포즈커피,저가형,37.497101,127.033317,12,N
할리스커피 카페하다6점,할리스커피,동일가격대,37.499538,127.042387,30,N
매머드커피 카페하다7점,매머드커피,저가형,37.498119,127.034115,12,N
커피빈 카페하다8점,커피빈,동일가격대,37.500974,127.038654,20,N
스타벅스 카페하다9점,스타벅스,동일가격대,37.49904,127.038544,12,N
할리스커피 카페하다10점,할리스커피,동일가격대,37.499456,127.038323,16,N
커피빈 카페하다12점,커피빈,동일가격대,37.502551,127.040172,30,N
매머드커피 카페하다13점,매머드커피,저가형,37.497057,127.040757,12,N
더벤티 카페하다14점,더벤티,저가형,37.505323,127.038518,40,N
컴포즈커피 카페하다15점,컴포즈커피,저가형,37.497803,127.031577,24,N
커피빈 카페하다16점,커피빈,동일가격대,37.503002,127.035379,55,N
컴포즈커피 카페하다17점,컴포즈커피,저가형,37.498531,127.039399,20,N
투썸플레이스 카페하다18점,투썸플레이스,동일가격대,37.497078,127.037798,24,N
뚜레쥬르 카페하다19점,뚜레쥬르,비커피,37.500379,127.031053,55,N
빽다방 카페하다20점,빽다방,저가형,37.499939,127.039823,12,N
파리바게뜨 카페하다21점,파리바게뜨,비커피,37.504739,127.039194,40,N
이디야커피 카페하다22점,이디야커피,저가형,37.50238,127.031147,20,N
이디야커피 카페하다23점,이디야커피,저가형,37.497879,127.032207,40,N
매머드커피 카페하다24점,매머드커피,저가형,37.503175,127.039743,55,N
폴바셋 카페하다25점,폴바셋,스페셜티,37.500771,127.041502,30,N
폴바셋 카페하다26점,폴바셋,스페셜티,37.498714,127.041362,16,N
컴포즈커피 카페하다27점,컴포즈커피,저가형,37.501545,127.036993,12,N
블루보틀 카페하다28점,블루보틀,스페셜티,37.497317,127.040154,30,N
블루보틀 카페하다29점,블루보틀,스페셜티,37.497216,127.039267,55,N
투썸플레이스 카페하다30점,투썸플레이스,동일가격대,37.498461,127.032102,30,N
파리바게뜨 카페하다31점,파리바게뜨,비커피,37.503446,127.033611,40,N
매머드커피 카페하다32점,매머드커피,저가형,37.504524,127.034581,12,N
컴포즈커피 카페하다33점,컴포즈커피,저가형,37.501553,127.042472,55,N
커피빈 카페하다34점,커피빈,동일가격대,37.497231,127.038608,16,N
더벤티 카페하다35점,더벤티,저가형,37.50186,127.031551,30,N
컴포즈커피 카페하다36점,컴포즈커피,저가형,37.498137,127.033175,20,N
이디야커피 카페하다37점,이디야커피,저가형,37.495521,127.038531,12,N
투썸플레이스 카페하다38점,투썸플레이스,동일가격대,37.497351,127.032451,12,N
커피빈 카페하다39점,커피빈,동일가격대,37.498074,127.038681,20,N
블루보틀 카페하다40점,블루보틀,스페셜티,37.501816,127.032796,24,N
매머드커피 카페하다41점,매머드커피,저가형,37.503236,127.035505,20,N
투썸플레이스 카페하다42점,투썸플레이스,동일가격대,37.499088,127.041421,20,N
컴포즈커피 카페하다43점,컴포즈커피,저가형,37.50296,127.041947,30,N
블루보틀 카페하다44점,블루보틀,스페셜티,37.500838,127.042755,16,N
투썸플레이스 카페하다45점,투썸플레이스,동일가격대,37.498413,127.035265,16,N
이디야커피 카페하다46점,이디야커피,저가형,37.504248,127.03356,12,N
더벤티 카페하다47점,더벤티,저가형,37.497936,127.036863,40,N
이디야커피 카페하다48점,이디야커피,저가형,37.502062,127.040512,24,N
폴바셋 카페하다49점,폴바셋,스페셜티,37.502242,127.033421,55,N
컴포즈커피 카페하다1점,컴포즈커피,저가형,37.488421,127.034752,16,N
할리스커피 카페하다2점,할리스커피,동일가격대,37.480207,127.035597,12,N
스타벅스 카페하다3점,스타벅스,동일가격대,37.483879,127.035692,30,N
더벤티 카페하다4점,더벤티,저가형,37.481705,127.029671,55,N
이디야커피 카페하다5점,이디야커피,저가형,37.484773,127.033014,12,N
더벤티 카페하다6점,더벤티,저가형,37.483538,127.030864,30,N
빽다방 카페하다7점,빽다방,저가형,37.484601,127.031896,30,N
메가MGC커피 카페하다9점,메가MGC커피,저가형,37.481194,127.034557,12,N
블루보틀 카페하다10점,블루보틀,스페셜티,37.484655,127.026841,16,N
이디야커피 카페하다11점,이디야커피,저가형,37.482901,127.035953,20,N
더벤티 카페하다12점,더벤티,저가형,37.482543,127.033202,24,N
뚜레쥬르 카페하다14점,뚜레쥬르,비커피,37.48536,127.038533,12,N
파리바게뜨 카페하다15점,파리바게뜨,비커피,37.482385,127.034066,30,N
매머드커피 카페하다16점,매머드커피,저가형,37.485763,127.03399,16,N
메가MGC커피 카페하다17점,메가MGC커피,저가형,37.488474,127.034537,55,N
폴바셋 카페하다18점,폴바셋,스페셜티,37.486564,127.032888,40,N
빽다방 카페하다19점,빽다방,저가형,37.480012,127.032396,16,N
매머드커피 카페하다20점,매머드커피,저가형,37.484451,127.031707,12,N
투썸플레이스 카페하다21점,투썸플레이스,동일가격대,37.484323,127.035035,55,N
매머드커피 카페하다23점,매머드커피,저가형,37.484299,127.030781,40,N
할리스커피 카페하다24점,할리스커피,동일가격대,37.484756,127.026034,12,N
커피빈 카페하다25점,커피빈,동일가격대,37.485276,127.037493,40,N
이디야커피 카페하다27점,이디야커피,저가형,37.48135,127.029086,55,N
파리바게뜨 카페하다28점,파리바게뜨,비커피,37.485864,127.038439,24,N
더벤티 카페하다29점,더벤티,저가형,37.488137,127.033273,24,N
컴포즈커피 카페하다30점,컴포즈커피,저가형,37.478369,127.031179,40,N
블루보틀 카페하다32점,블루보틀,스페셜티,37.487811,127.034843,55,N
뚜레쥬르 카페하다33점,뚜레쥬르,비커피,37.484829,127.032169,12,N
뚜레쥬르 카페하다34점,뚜레쥬르,비커피,37.479136,127.033728,55,N
매머드커피 카페하다35점,매머드커피,저가형,37.482854,127.026171,20,N
더벤티 카페하다36점,더벤티,저가형,37.486651,127.032654,24,N
커피빈 카페하다37점,커피빈,동일가격대,37.483801,127.034484,55,N
컴포즈커피 카페하다38점,컴포즈커피,저가형,37.483232,127.036613,16,N
스타벅스 카페하다1점,스타벅스,동일가격대,37.514364,127.091028,30,N
매머드커피 카페하다2점,매머드커피,저가형,37.512854,127.089976,20,N
메가MGC커피 카페하다3점,메가MGC커피,저가형,37.511939,127.086373,12,N
블루보틀 카페하다4점,블루보틀,스페셜티,37.508923,127.082322,12,N
블루보틀 카페하다5점,블루보틀,스페셜티,37.50954,127.089171,16,N
투썸플레이스 카페하다6점,투썸플레이스,동일가격대,37.511109,127.090231,40,N
투썸플레이스 카페하다7점,투썸플레이스,동일가격대,37.508748,127.09168,20,N
빽다방 카페하다8점,빽다방,저가형,37.512628,127.081686,40,N
빽다방 카페하다9점,빽다방,저가형,37.507342,127.082041,16,N
더벤티 카페하다10점,더벤티,저가형,37.509444,127.082066,55,N
